POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
354-20160,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2016,CHESTNUT ST,3977000,Area 5,Marina,"(37.800798, -122.43687)"
354-21030,-,0,Green,SS,Y,Y,SFMTA,ON,0,2103,CHESTNUT ST,3979000,Area 5,Marina,"(37.800522, -122.438067)"
354-21160,-,0,Yellow,SS,Y,Y,SFMTA,ON,0,2116,CHESTNUT ST,3979000,Area 5,Marina,"(37.800589, -122.438525)"
363-05250,-,0,Grey,SS,N,N,SFMTA,ON,0,525,COLUMBUS AVE,4295000,Area 3, ,"(37.800053, -122.409985)"
363-05270,-,0,Grey,SS,N,N,SFMTA,ON,0,527,COLUMBUS AVE,4295000,Area 3, ,"(37.800088, -122.410035)"
464-04120,-,0,Grey,SS,Y,Y,SFMTA,ON,0,412,HAYES ST,6816000,Area 5,Civic Center,"(37.776878, -122.423512)"
464-04200,-,0,Grey,SS,Y,Y,SFMTA,ON,0,420,HAYES ST,6816000,Area 5,Civic Center,"(37.776834, -122.423847)"
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3, ,"(37.79399, -122.408776)"
324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,BATTERY ST,2767000,MC3, ,"(37.801541, -122.401568)"
324-08080,-,0,Grey,SS,N,N,SFMTA,ON,0,808,BATTERY ST,2763000,Area 3, ,"(37.798803, -122.401015)"
464-05130,-,0,Grey,SS,Y,Y,SFMTA,ON,0,513,HAYES ST,6817000,Area 5,Civic Center,"(37.776547, -122.425131)"
607-32220,-,0,Grey,SS,Y,Y,SFMTA,ON,0,3222,PIERCE ST,10445000,Area 5,Marina,"(37.800021, -122.439388)"
652-32030,-,0,Grey,SS,Y,Y,SFMTA,ON,0,3203,SCOTT ST,11715000,Area 5,Marina,"(37.799417, -122.44111)"
652-32090,-,0,Yellow,SS,Y,Y,SFMTA,ON,0,3209,SCOTT ST,11715000,Area 5,Marina,"(37.799575, -122.441143)"
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3, ,"(37.771749, -122.40894)"
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3, ,"(37.771252, -122.408315)"
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3, ,"(37.771142, -122.408177)"
352-05460,-,0,Grey,SS,N,N,SFMTA,ON,0,546,CASTRO ST,3791000,Area 3, ,"(37.759436, -122.434965)"
324-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,BATTERY ST,2764000,Area 3, ,"(37.799917, -122.401401)"
443-02030,-,0,Grey,SS,Y,Y,SFMTA,ON,0,203,GOUGH ST,6315000,Area 5,Civic Center,"(37.775165, -122.422718)"
384-15260,-,0,Green,SS,N,N,SFMTA,ON,0,1526,DIVISADERO ST,4812201,Area 3, ,"(37.784103, -122.439528)"
210-03090,-,0,Grey,SS,N,N,SFMTA,ON,0,309,10TH ST,488000,Area 3, ,"(37.772593, -122.412403)"
210-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,10TH ST,488000,Area 3, ,"(37.772176, -122.412173)"
210-03610,-,0,Grey,SS,N,N,SFMTA,ON,0,361,10TH ST,489000,Area 3, ,"(37.771735, -122.411327)"
590-01240,-,0,Grey,SS,Y,Y,SFMTA,ON,0,124,OAK ST,9751000,Area 5,Civic Center,"(37.775201, -122.42171)"
605-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,PAGE ST,10169000,Area 5,Civic Center,"(37.774074, -122.422068)"
442-07040,-,0,Grey,SS,Y,Y,SFMTA,ON,0,704,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.780861, -122.422304)"
415-31110,-,0,Yellow,SS,N,Y,SFMTA,ON,0,3111,FILLMORE ST,5563000,Area 5,Marina,"(37.798379, -122.435819)"
210-04580,-,0,Grey,SS,N,N,SFMTA,ON,0,458,10TH ST,490000,Area 3, ,"(37.77038, -122.409921)"
327-01210,-,0,Grey,SS,N,N,SFMTA,ON,0,121,BROADWAY,3144000,Area 3, ,"(37.798561, -122.400556)"
327-03130,-,0,Grey,SS,N,N,SFMTA,ON,0,313,BROADWAY,3146000,Area 3, ,"(37.798288, -122.40271)"
442-07380,-,0,Green,SS,Y,Y,SFMTA,ON,0,738,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.780727, -122.423357)"
442-07400,-,0,Grey,SS,Y,Y,SFMTA,ON,0,740,GOLDEN GATE AVE,6267000,Area 5,Civic Center,"(37.780717, -122.423433)"
440-39160,-,0,Grey,SS,N,Y,SFMTA,ON,0,3916,GEARY BLVD,6059201,Area 3, ,"(37.781274, -122.461668)"
330-09600,-,0,Grey,SS,N,N,SFMTA,ON,0,960,BRANNAN ST,3089000,Area 3, ,"(37.770213, -122.406957)"
327-05180,-,0,Yellow,SS,N,N,SFMTA,ON,0,518,BROADWAY,3151000,Area 3, ,"(37.798019, -122.406083)"
415-24010,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2401,FILLMORE ST,5556000,Area 5,Fillmore,"(37.791695, -122.434469)"
663-33240,-,0,Grey,SS,Y,Y,SFMTA,ON,0,3324,STEINER ST,12156000,Area 5,Marina,"(37.800377, -122.437775)"
359-16350,-,0,Grey,SS,N,N,SFMTA,ON,0,1635,CLAY ST,4105000,Area 3, ,"(37.792425, -122.420297)"
359-17260,-,0,Grey,SS,N,N,SFMTA,ON,0,1726,CLAY ST,4106000,Area 3, ,"(37.792348, -122.421753)"
650-24270,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2427,SACRAMENTO ST,11255000,Area 5,Fillmore,"(37.789857, -122.43344)"
226-34360,-,0,Grey,SS,N,N,SFMTA,ON,0,3436,26TH ST,1528000,Area 3, ,"(37.748998, -122.419617)"
356-33120,-,0,Grey,SS,N,N,SFMTA,ON,0,3312,CESAR CHAVEZ ST,2488201,Area 3, ,"(37.748305, -122.41644)"
415-19050,-,0,Grey,SS,Y,Y,SFMTA,ON,0,1905,FILLMORE ST,5550000,Area 5,Fillmore,"(37.787229, -122.43357)"
415-19280,-,0,Yellow,SS,Y,Y,SFMTA,ON,0,1928,FILLMORE ST,5551000,Area 5,Fillmore,"(37.787823, -122.433554)"
613-06910,-,0,Grey,SS,N,N,SFMTA,ON,0,691,PORTOLA DR,10615102,Area 3, ,"(37.744517, -122.452982)"
440-29040,-,0,Grey,SS,N,N,SFMTA,ON,0,2904,GEARY BLVD,6048201,Area 3, ,"(37.782217, -122.45038)"
440-29200,-,0,Grey,SS,N,N,SFMTA,ON,0,2920,GEARY BLVD,6048201,Area 3, ,"(37.782145, -122.450949)"
470-16050,-,0,Grey,SS,N,N,SFMTA,ON,0,1605,HOWARD ST,7059000,Area 3, ,"(37.771503, -122.416943)"
470-16130,-,0,Grey,SS,N,N,SFMTA,ON,0,1613,HOWARD ST,7059000,Area 3, ,"(37.771291, -122.417072)"
614-10070,-,0,Grey,SS,N,N,SFMTA,ON,0,1007,POST ST,10639000,Area 3, ,"(37.786927, -122.418615)"
502-00160,-,0,Grey,SS,N,N,SFMTA,ON,0,16,JONES ST,7563000,Area 2, ,"(37.781606, -122.412055)"
502-00180,-,0,Grey,SS,N,N,SFMTA,ON,0,18,JONES ST,7563000,Area 2, ,"(37.781656, -122.412065)"
324-12140,-,0,Grey,SS,N,N,SFMTA,ON,0,1214,BATTERY ST,2768000,Area 3, ,"(37.802434, -122.401738)"
440-34130,-,0,Grey,SS,N,N,SFMTA,ON,0,3413,GEARY BLVD,6054101,Area 3, ,"(37.781266, -122.455794)"
470-16570,-,0,Yellow,SS,N,N,SFMTA,ON,0,1657,HOWARD ST,12018101,Area 3, ,"(37.770282, -122.417517)"
470-15100,-,0,Grey,SS,N,N,SFMTA,ON,0,1510,HOWARD ST,7057000,Area 3, ,"(37.772907, -122.41594)"
612-22310,-,0,Grey,SS,N,N,SFMTA,ON,0,2231,POLK ST,10578000,Area 3, ,"(37.797543, -122.422169)"
612-24120,-,0,Grey,SS,N,N,SFMTA,ON,0,2412,POLK ST,10580000,Area 3, ,"(37.799112, -122.422329)"
444-12160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1216,GRANT AVE,6402000,Area 3, ,"(37.798684, -122.407135)"
419-01050,-,0,Grey,SS,Y,Y,SFMTA,ON,0,105,FRANKLIN ST,5798000,Area 5,Civic Center,"(37.77549, -122.421099)"
563-05360,-,0,Grey,SS,Y,Y,SFMTA,ON,0,536,MCALLISTER ST,8895000,Area 5,Civic Center,"(37.779996, -122.421543)"
446-02180,-,0,Grey,SS,N,Y,SFMTA,ON,0,218,GROVE ST,6555000,Area 5,Civic Center,"(37.778188, -122.42077)"
