IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140823895,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Tuesday,09/30/2014,10:10,SOUTHERN,JUVENILE BOOKED,800.0 Block of BRYANT ST,-122.403742962696,37.7752316978411,"(37.7752316978411, -122.403742962696)"
146203863,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,09/30/2014,17:00,INGLESIDE,NONE,300.0 Block of COLERIDGE ST,-122.421199272661,37.7411754795167,"(37.7411754795167, -122.421199272661)"
140826203,MISSING PERSON,MISSING JUVENILE,Tuesday,09/30/2014,16:00,INGLESIDE,NONE,0.0 Block of TINGLEY ST,-122.433065267695,37.7287332789538,"(37.7287332789538, -122.433065267695)"
140826479,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,09/30/2014,19:00,INGLESIDE,NONE,700.0 Block of EDINBURGH ST,-122.434476440939,37.7180277754142,"(37.7180277754142, -122.434476440939)"
140824257,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,09/30/2014,12:59,NORTHERN,PSYCHOPATHIC CASE,2100.0 Block of SACRAMENTO ST,-122.428583230174,37.7904127771735,"(37.7904127771735, -122.428583230174)"
140823384,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,09/30/2014,08:50,BAYVIEW,"ARREST, CITED",3RD ST / LASALLE AV,-122.389865610332,37.7371699446499,"(37.7371699446499, -122.389865610332)"
140823083,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Tuesday,09/30/2014,04:13,MISSION,"ARREST, BOOKED",2000.0 Block of MARKET ST,-122.426893114012,37.7691618402243,"(37.7691618402243, -122.426893114012)"
140825211,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,09/30/2014,14:10,NORTHERN,NONE,1500.0 Block of BUCHANAN ST,-122.429455718052,37.7839811268754,"(37.7839811268754, -122.429455718052)"
140825578,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Tuesday,09/30/2014,19:45,MISSION,NONE,POTRERO AV / 16TH ST,-122.407538332319,37.7657827544572,"(37.7657827544572, -122.407538332319)"
140822994,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,09/30/2014,00:35,PARK,PSYCHOPATHIC CASE,1800.0 Block of WALLER ST,-122.454877622403,37.7681470009609,"(37.7681470009609, -122.454877622403)"
140826946,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,09/30/2014,18:00,TENDERLOIN,NONE,LEAVENWORTH ST / MCALLISTER ST,-122.413679376888,37.7809258337149,"(37.7809258337149, -122.413679376888)"
140823641,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Tuesday,09/30/2014,09:37,SOUTHERN,"ARREST, BOOKED",1000.0 Block of MARKET ST,-122.411550531507,37.7812886524764,"(37.7812886524764, -122.411550531507)"
140830828,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,09/30/2014,10:30,PARK,NONE,OAK ST / MASONIC AV,-122.445717668922,37.7720809772689,"(37.7720809772689, -122.445717668922)"
140823174,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,09/30/2014,06:30,TENDERLOIN,NONE,400.0 Block of JONES ST,-122.412888359407,37.785168321727,"(37.785168321727, -122.412888359407)"
