Id,PostTypeId,ParentId,OwnerUserId,CreationDate,ViewCount,FavoriteCount,Tags,Keywords
1,1,,10,2011-01-11T20:45:08.070,1234,1,novel languages,ve got nativ tongu shelf notabl languag embed stori spoken els add read list m particular look book develop languag exot place charact name ad flavor updat languag well develop dictionari reason complet glossari refer grammar like page outlin string word togeth question copi verbatum exampl question area 51 communiti wiki m sure one question could mark answer
2,1,,27,2011-01-11T20:47:13.640,312,,vorkosigan-saga lois-mcmaster-bujold,loi mcmaster bujold barrayar seri recal ani mention barrayar moon ani planet solar system ani refer book
3,1,,35,2011-01-11T20:49:52.980,406,4,total-recall-2070,plot tv seri total recal 2070 impli varieti differ type android hume partner ian farv secret type android call alpha almost worker call delta doe seri ani support materi mention ani type android
4,2,1,31,2011-01-11T20:50:49.627,,,,guess depend definit well develop three particular well develop opinion fremen dune sindarin lord ring yes know sci fi klingon star trek
5,2,1,39,2011-01-11T20:52:46.753,,,,m sure book specif heavi klingon klingon languag pretti much full fledg languag design actual linguist know ani star trek book make lot use klingon dictionari
6,1,,40,2011-01-11T20:53:41.560,2421,1,star-trek star-trek-2009,star trek reboot 2009 sinc nero crew travel back time whi didn take warn homeworld immin destruct ship warp drive
8,1,,10,2011-01-11T20:57:40.340,29715,1,apocalypse the-road,googl say catastroph road unexplain given see screen anyon come better explan world got way
11,1,,35,2011-01-11T21:02:44.203,629,5,movie tv philip-k-dick,recent finish watch great seri total recal 2070 base philip k dick univers philip k dick absurdist blend philosoph problem sci fi uniqu flavor m look ani tv film work base write ve alreadi seen total recal blade runner
12,2,6,32,2011-01-11T21:03:30.583,,,,nero captur klingon tortur almost 25 year guess drove insan leav noth reveng mind
14,2,8,9,2011-01-11T21:05:56.110,,,,rememb unexplain someth massiv fire movi somewhat show book talk grey sky dead plant life earthquak et cetera sinc happen sudden m kind assum kind natur planetari disast like meteor comet strike interest think discuss scienc point view total unnecessari human drama creation hostil environ great book opinion
15,1,,35,2011-01-11T21:12:59.670,9103,0,star-trek spaceship,may differ enterpris mani featur tv film last heard j show enterpris
16,2,6,55,2011-01-11T21:13:22.080,,,,mayb tri nobodi believ didn tri becaus nobodi would believ anyway cours veri advanc technolog prove futur tyrann govern tight control inform like seiz jail forev kill govern keep technolog advanc empir anoth issu warn home world might drive wife exist want reveng spock save peopl special might onli save wife total eras
17,1,,55,2011-01-11T21:15:29.193,2064,,the-road,ve onli seen film road haven read book perhap miss go peopl miss thumb
18,1,,43,2011-01-11T21:16:21.393,679,,tv,understand bob somehow possess leland palmer exact relationship black lodg origin
19,2,11,51,2011-01-11T21:16:50.893,,,,seen confess d un barjo french realli hard find ve alreadi seen realli good one m afraid screamer impost good bad movi next fun rest kinda blah blade runner android dream electr sheep screamer second varieti total recal rememb wholesal confess d un barjo confess crap artist impost impostor minor report minor report paycheck paycheck scanner dark scanner dark next golden man adjust bureau adjust team soon come king elv king elv vali radio free albemuth mayb suppos done even shown go find support demand make sequel would base book vali total recal howev loos base movi get clinic doe recal clinic movi doe vagu mention 1 paragraph rest film real stori consist magic wand alien promis prevent end world realli know
20,2,11,58,2011-01-11T21:17:00.947,,,,one know blade runner minor report paycheck impost scanner dark next
21,1,,35,2011-01-11T21:18:02.940,3097,,star-trek movie canon gene-roddenberry,think star trek 2009 movi pretti cool look storylin wreak total havoc exist post origin seri content know gene roddenberri veri strict consid canon past basic anyth didn like well like anim seri sinc death seem like later seri consid canon latest star trek 2009 consid canon
23,1,,55,2011-01-11T21:19:08.020,216,,pioneer-one,ve recent re watch pilot episod pioneer one friend befor watch episod 2 realli confus pilot episod re download chang special initi scene radio telescop total miss instead see pilot coupl wit fall object happen whi chang
24,2,15,48,2011-01-11T21:19:44.917,,,,wikipedia mention 8 4 altern timelin
25,1,,32,2011-01-11T21:20:02.840,6142,8,novel isaac-asimov foundation chronological-order,ve mean read foundat seri haven quit abl figur book read first doe anyon know correct chronolog order book seri ani drawback read foundat seri chronolog order possibl star war like spoiler
26,2,15,51,2011-01-11T21:22:03.713,,,,total 8 enterpris film tv 7 count version first one ship tos new reboot least think right
27,2,21,36,2011-01-11T21:23:17.103,,,,offici product given fact gene pass yeah would consid canon like hate enjoy doe conveni reboot timelin manner let remain canon without make ani previous film inaccur new storylin
28,1,,10,2011-01-11T21:23:43.837,427,2,fanfic,public domain scienc fiction track creativ common scienc fiction safe re mix e fan fic
29,2,21,32,2011-01-11T21:24:27.967,,,,sinc event 2009 movi take place altern timelin origin seri logic problem canon whys detail bob orci explain new star trek movi fit trek canon real scienc
30,1,,58,2011-01-11T21:24:35.667,2491,5,movie props,watch crew commentari babylon 5 pilot movi gather heard jms john navarro talk mysteri object prop suppos pass around includ somewher mani sci fi movi seem insid joke hollywood ve look figur anyon know
31,1,,51,2011-01-11T21:27:40.980,455,,philip-k-dick,ve heard recent 90 reduc fat version exegesi go come print howev would realli like get hold full copi aren suppos exist howev year henc perhap greet futur peopl pleas grace mean read doubt fascin romp rabbit hole religi fuel psychobabbl
33,1,,55,2011-01-11T21:31:01.883,2952,1,star-trek canon star-trek-data,ve read wikipedia articl spaceship name enterpris main set film star trek first contact 1996 star trek insurrect 1998 star trek nemesi 2002 1 6 accord star trek countdown 2009 data assum command enterpris captain picard retir starfleet becom ambassador vulcan emphasi ad haven read star trek countdown look wikipedia page read comic came becaus anthoni pascal editor trekmovi com kept request film co writer roberto orci way next generat charact pass baton back origin ask whether filmmak involv comic made canon orci state posit declar whether though felt could easili remain unless contradict futur film emphasi ad could ever canon data sacrific dure star trek nemesi save picard still captain enterpris data arriv singl use person transport captain beam back enterpris befor ultim sacrif shut weapon destroy ship miss someth data reviv star trek nemesi un canon data star trek countdown realli b4
36,2,30,51,2011-01-11T21:33:03.803,,,,human human almost sci fi whi honest know
38,1,,52,2011-01-11T21:36:47.080,345,1,literary-analysis,keep suspens disbelief read watch scienc fiction work written quit time ago happen futur present even past thing peopl imagin would exist futur may realli exist even complet ridicul start funni cloth way fli automobil one exampl 2011 jupit didn explod becom star lucif soviet union doesn exist anymor like famous film
39,2,17,63,2011-01-11T21:37:51.723,,,,accord director paraphras author book open interpret think kind primit punish
41,2,38,10,2011-01-11T21:39:49.213,,,,old scienc fiction consid altern histori re watch blade runner feel like altern histori comput tv screen technolog stall 1980 2020 technolog zoom way ahead anyth like see ten year
42,2,30,55,2011-01-11T21:40:10.053,,,,think talk teddi bear stori goe someth like j michael straczynski creator babylon 5 hate cute thing promis go children android babylon 5 mayb respons wesley crusher data eventu someon gave teddi bear writer saga begin jms promis get reveng paraphras fuck script somewher babylon 5 artifact beyond rim teddi bear pictur babylon 5 episod open merchandis store http www youtub com watch v scbomyj7iu0 writer wrote star trek episod seri teddi bear appear space one charact say would space teddi bear http www eegg com item 25040 html
43,1,,50,2011-01-11T21:43:29.663,3965,16,novel math hard-sci-fi,wonder whether anyon written novel set univers p np event one first univers problem could verifi polynomi time np given solut could also solv polynomi time p
44,2,25,55,2011-01-11T21:45:51.143,,,,chronolog order main 7 book prelud foundat forward foundat foundat foundat empir second foundat foundat edg foundat earth favor read public order foundat foundat empir second foundat foundat edg foundat earth prelud foundat forward foundat spoiler foundat seri realli empir robot seri includ cave steel even book like end etern continu big deal
45,2,25,37,2011-01-11T21:47:23.530,,,,chronolog order prelud foundat forward foundat foundat foundat empir second foundat foundat edg foundat earth public order foundat 1951 foundat empir 1952 second foundat 1953 foundat edg 1982 foundat earth 1986 prelud foundat 1988 forward foundat 1993 think spoiler read chronolog order howev would recommend read robot seri asimov first
48,1,,35,2011-01-11T21:54:44.923,5074,3,movie tv babylon-5,love seri movi even watch crusad awesom sinc ve heard ani new babylon 5 movi hand seri creator michael straczynski may addit clout receiv bafta award nomin script changel write script blockbusterthor ani plan new straczynski driven babylon 5 work
52,2,38,73,2011-01-11T21:58:50.873,,,,know suspend disbelief usual awar novel written 1950 go 1950 viewpoint idea futur book written one thing take account read book addit wrote wrote
53,2,48,55,2011-01-11T22:00:31.870,,,,far know aren ani plan rumor ve heard unconfirm j michael straczynski year ago got hollywood list got produc babylon 5 lost tale think unsuccess plan anyth babylon 5 univers quit unfortun
54,1,,56,2011-01-11T22:01:18.163,714,4,online-resources,reason complet onlin databas sf work written sf internet specul fiction databas movi internet movi databas media comic radio program sf specul fiction scienc fiction altern histori fantasi note m look databas aim exhaust domain select base notabl tast
55,1,,10,2011-01-11T22:01:53.897,5077,1,star-wars,obi wan left anakin dead one movi later new hope say anakin kill darth vader exact obi wan know anakin darth vader befor new hope start
58,2,1,74,2011-01-11T22:04:03.583,,,,well develop english like languag m think neal stephensen anathem veri well develop languag english mani name object made
